Nama Tempat,Foto,Deskripsi ,Longitude,Latitude,No Telp,Rating,Ulasan
MACSUS Company,,"MACSUS COMPANY merupakan perusahaan IT yg bergerak dibidang jasa maintenance laptop & PC yang didirikan pada tahun 2015. Beberapa jasa yg ditawarkan adalah Recovery Hardware, Recovery Software, Maintenance, Jual Beli Aksesoris Laptop dan Jual beli laptop",112.8022637457976,-7.285509036238459,085852561993,4.8,"- Devi Vitriana Purwanto : Alhamdulillah atas izin Allah ketemu tempat service laptop terbaik.
- Fransedo Aminata : Pelayanan memuaskan, ramah, dan mau berbagi ilmu terkait dengan masalah laptop.
- Sedekah 150 Juta Per hari : Terima kasih, sukses selalu buat Mas RIZA & TIM"
B IT Service Laptop,,"IT CONSULTANT & MAINTENANCE SBY. Service, Cleaning, Software, Hardware, Laptop,PC, Free Consulting 24 Hours",112.75066360770447,-7.326898626568841,088231302374,5.0,"- Yuliana :  Dan insha Allah teknisi nya amanah.
- Erni R : Pelayanan bagus, cepat dan hasil sesuai yang diharapkan👍🏻
- Berliana Raistya R : Harga kantong mahasiswa.."
ninjAtom Rungkut,,"Service Laptop dan Komputer
💡 Servis Laptop & PC 💻🖥
Perawatan, Perbaikan, Upgrade
Kembali ke Performa laptopmu yang Terbaik!",112.77206263839183,-7.327516503475626,081315004177,5.0,"- Sudjiati 123 : Pelayanan bagus..Orang nya welcome.. semoga sukses
- Hariadi Prayogo : Deket sama daerah kampus, jadi ngga perlu capek2 ke sana.
- Nabila Aldhia Fasya : Terima kasih pada mas admin nya yang baik banget"
SonCom,,PUSAT SERVICE LAPTOP DAN PROYEKTOR,112.75614099976654,-7.297026509961651,081357000864,4.7,"- Rendy Kurniawan: Tempat servis notebook yang terpercaya, pelayanan bagus, selalu ramai.
- JAVA STORE : Dan dvd room gak bisa di benerin katanya optik nya gak dapat².
- Martinus Rukismono : CS memberikan layanan yg dibutuhkan konsumen, estimasi biaya dan lama perbaikan"
Schiene Tren Dev,,One Stop Solution Your Computer Care [Schiene Tren Dev] Service Laptop Terbaik di Surabaya,112.72899099906626,-7.311701595810496,083831389500,5.0,"- Fariz Setiawan : Pelayanannya baik,ramah hasil juga sangat bagus sangat rekomen
- Laila nr : Pelayanan oke, fast respon bisa buat langganan👍🏻
- Dafa Rizqi : Teknisinya baik dan ramah,servis nya bagus pol"
Merah Putih Computer,,"Service Printer dan Laptop Bergaransi. Service Printer, tinta, dotmatrix, laser. Isi toner printer laser. Modif printer. Service laptop. Aksesoris Komputer. Bergaransi",112.73070761281356,-7.305742263408029,085173288558,4.6,"- Agam Pangestu : Sangat puas belanja dan service laptop sama printer ditoko ini thanks👍👍👍
- Septia maya Teofani : Pelayanan bagus, saya hubungi via wa fast response,kualitas barang bagus
- muhammad ibrahim al hanif : Tempat servis laptop, jual berbagai barang pendukung."
KiS,,Servis komputer surabaya KiS,112.73791739055221,-7.29603689486227,081316789261,5.0,"- Naufal Putra : Service nya bagus harga ramah lingkungan budget mahasiswa
- Riski Dwi : Servis rekomended, harga juga murah untuk anak kuliah
- Faris Azka : Alhamdulillah bapak nya asik.."
Geeko Komputer - UNESA 2,,"Geeko Komputer One Stop Service Laptop. Tempat rujukan servis laptop favorit dan terbaik di Kota Surabaya dan sekitarnya. Terpecaya, Termurah dan Bergaransi",112.67086427825892,-7.302420223271739,081139011100,5.0,"- Bala Arizalu : Pelayan oke, minta tolong check kondisi hardware laptop bisa.
- Fitria Indri : Pelayanan baik hasil service bagus pas di kantong mahasiswa👍🏻👍🏻
- Caca Aca : Ga cuman tempat service doang, disini juga jual aksesoris gitu."""
Star Computer,,""" Star Computer "", Service Komputer PC, Laptop, Setting Design, Pengetikan, Print and Scan",112.76459138886148,-7.274835788829546,081231990614,5.0,"- Erik Setiawan : Proses cepet, orang nya baik, cukup murah biaya nya untuk wilayah surabaya.
- Sugeng Hariyanto : Pak Wawan enak kalau komunikasi, dan hasil servisnya oke.
- Donny Working : Pelayanan sangat baik, respon cepat, mau diundang ke rumah, sangat rekomen..!!"
Kuroji Tech,,"Service Komputer dan Lpatop terpecaya di Wilayah Surabaya. Harga mahasiswa, siap melayani service dirumah anda!",112.73987215090035,-7.269386810932448,081703121055,5.0,"- rivaldi dwihansyah : Mantap gak cuma game, aplikasi lain buat laptop ada
- Mohammad Idham Fachrurrozi : Recommended seller buat yg carik jasa instalasi game atau kebutuhan software.
- Mukhammad Rahmat Ilmi Adha : Tempat game ter worth it, termurah di surabaya"
SAR-IT,,Jasa service laptop dan komputer panggilan rumah kantor dan pabrik serta pemasangan cctv dan jaringan lan,112.6417959697743,-7.247019334671298,085212277949,5.0,"- Nova Aditya Pradana : Proses pengerjaan cepet, bawa komputer kondisi mati kena air ac jam 11 siang.
- Shelvi Oktavia : Keren, service cepat, pelayanan oke, harga ramah di kantong.
- Nur wahyuni : Service nya bagus,orang nya ramah,waktu nya cepat,harga murah."
AA.COM - Simo Jawar,,"⚒️ Menerima Servis All Kerusakan 🛡️ Bergaransi Jual Beli Laptop Second 0857 3144 7447 · Simo jawar Vb-7 no.21, Surabaya, Indonesia 60281.",112.68041977908852,-7.255193183335588,083854300901,4.7,"- Lilis : Apakah Ada tempat magang tkj Di toko ini
- Sumber jaya : Hasil baik dan harga bersahabat""
- Bagus a : Langganan service laptop dan printer, puas sekali..terimakasih"
Rhinos Komputer,,Rhinos Komputer | Service Laptop Terpercaya Di Surabaya,112.70457191494208,-7.309059175198282,089699912812,5.0,"- Adrianus Masan Maran : Servis laptop amanah rekomendasi daerah Surabaya
- Nuraemah Ajja : Pelayanan nya baik dan ramah ada fasilitas antar jemput nya juga loh
- Jessica Wungkana : Support berbagai type sparepart laptop dan bergaransi Harga sahabat mahasiswa ☺"
Putra Arjuna Computer,,Pusat Service Komputer dan Laptop,112.66110415356732,-7.260669333825529,082133300499,5.0,"- Ditya Khasanah : Recomended untuk service komputer, laptop, printer
- veve yudha : Ganti keyboard proses cepat harga murah, fast respon, amanah, thanks
- Muhammad Nasrun : Di sini juga menawarkan paket jalan-jalan di wilayah Indonesia"
FIND COMP,,Pusat Service Laptop,112.64651293671528,-7.256582477772392,085103456000,4.7,"- Farel Arga : Pelayanan baik,Hasil maksimal , bagus , ramah , harga terjangkau Good & Nice
- Moch Ayyup : Pelayanan baik cepat dan amanah rekomendasi banget buat service disini👍🏻
- Budi Laksmono : Toko ga jelas bukanya."
AVM Komputer,,"AVM Komputer | Service, Jual Beli Laptop & Komputer",112.6328968823562,-7.259379236638262,081228994166,5.0,"- Argstn :Tempat service laptop cara pelayanan n pengerjaan oke.
- bintang aditya : Second Rp kwalitas mantap mas.
- Billa Wn : Pengerjaanya cepat bagus pelayananya... harga tidak menguras kantong."
RIZKI CELL,,"PUSAT SERVICE HP & LAPTOP, CEPAT, MURAH BERGARANSI",112.6891516243545,-7.255926087392016,085158900046,4.8,"- Fajaria Agustina : Pelayanan ramah, pengiriman pulsa juga cepat, harga internet juga murah
- Marsel Darmawan : Bagus hasil pengerjaan nya
- Yekti Sayekti : Dan ada garansi untuk lcd nya 8 hari ... overall puas service di sini ...
"
Servis Laptop Mahardika,,"Mahardika Laptop & Printer Service terletak di Kota Surabaya, Jawa Timur. Perusahaan ini bekerja di industri berikut: Pemrograman komputer, desain web.",112.78645781441092,-7.254396912164799,081333266788,4.8,"- Nadhif Risantosa : Proses servis cepat, produk oke, pelayanan mantap 👍🏽
- Arief Iskandar : Laptop beres, ilmu juga nambah, thanks mas Imam 👍
- Agung Sugiarto : Bisa konsultasi masalah laptop, pokoknya service disini bagus sekali."
BINTANG COMP,,Service Laptop Surabaya - BINTANG COMP,112.75200777063827,-7.236286029487817,087878898583,4.9,"- Bunga Matahari : Servisnya berpengalaman, hasil bagus, dan amanah, rekomenn servis disini👍
- Yawanda Andhika : Masalah layar menyala hitam, tapi mesin hidup.
- pin : Di Indonesia memang bnyk org pinter,,,tp orang jujur bisa dihitung dgn jari"
Geeko Komputer - UNAIR,,"Geeko Komputer One Stop Service Laptop. Tempat rujukan servis laptop favorit dan terbaik di Kota Surabaya dan sekitarnya. Terpecaya, Termurah dan Bergaransi",112.77432374935314,-7.265745947978344,08113111966,5.0,"- Shafia Amalia123 : Tempat service laptop yang recomended, ramah, dan dekat kampus
- Afdaliah Tajuddin : Pelayanan sangat ramah, cepat, dan ada 4 cabang di area Surabaya.
- Safiyah Qolbi : Hasil service bagus dan ada garansi nya juga"
Ivan Cell,,Ivan Cell (Service Hp & Laptop),112.74496965427434,-7.2420759921622455,087852222292,5.0,"- Ina ajeng Safitri : Harga terjangkau dan hasil nya bagus.
- Farras al amudi : Service mantab dan orangnya juga ramah memberikan saran siip ✨👌🏻
- yusron keceng : Proses cepat abis ganti konektor cas"
WONG.AITI,,"WONG AITI
Information Technology Company
PENCARI NAFKAH. IT SERABUTAN.
Creative Design & Service Computer",112.76247911449678,-7.224365284232322,081515235411,5.0,"- Surya Ramadhan : Barang bagus dan pelayanan oke
- KURDIANTO YS : Orang nya ramah,proses service cepat dan hasil memuaskan.
- Lili Setyowati : Laptop kondisi ok, pengiriman cepat."
ABi Comp Surabaya,,"ABi Computer merupakan suatu badan usaha yang bergerak di bidang : Service, Penjualan dan Kursus. Baik Laptop, Komputer, Printer maupun Tablet. Dengan motto ""Cepat,Tepat dan Amanah"" kami berharap ""ABi Computer Surabaya"" menjadi Solusi IT anda.",112.73707323103677,-7.260126574767408,083831900696,5.0,"- Aan Andi : Terima kasih Pak Wahyu, atas servis laptop saya.
- Rumeijudarton Sumanto : Hasil servicenya memuaskan......recomended buat service laptop dan kursus laptop
- Fatihatul Muniroh : Pelayanan bagus ramah hasil kerja sempurna"
TN computer,,"TNcomputer Surabaya
Hi-tech mall Sby
⌚️
📞(WA)083856746237
💻
🔌service laptop dll.",112.7727415614726,-7.211901370197501,083856746237,4.6,"- Alda Muhammad Sulaiman : Cakep
- Ari Azhar : Kualitas
-  SL Official : Profesionalisme"
Rajee Servis,,Rajee Servis | Service Printer dan Lapto/PC,112.75935803823728,-7.219581399152201,087768430008,4.5,"- Amma Alwi : pelayanan ramah, kualitas megah
- Damian Zabua : harga bisa murah, tinggal promosinya yg lebih sip
- PT.GOJEK INDONESIA Karya Anak Bangsa : Minimalis"
Duta Securindo,,"Duta Securindo adalah perusahaan yang bergerak
di bidang jasa layanan IT, CCTV dan jaringan,
desain dan multimedia. Anda memiliki kebutuhan lain?
Konsultasikan dengan Tim Ahli Kami dan Dapatkan
Solusi Terbaik!",112.78989448675563,-7.259449916749764,0895422417420,5.0,"- Ijum S-210 : Ahirnya nemu jasa pasang cctv terdekat 👍
- Nanda. WYO : Teknisi nya ramah banget, udh gt profesional, rapi.
- Safira Nurulqolbi : Pelayanan servicenya baguss bangettt, harganya juga terjangkauu."
Technophile Service,,"Technophile Service terletak di Kota Surabaya, Jawa Timur. Perusahaan ini bekerja di industri berikut: Pemrograman komputer, desain web.",112.72597074480211,-7.254225093315893,081230892049,5.0,-
Ayooservis Surabaya,,"Ayooservis adalah sebuah aplikasi jasa layanan perbaikan perangkat IT, di bawah naungan PT Airmas Servisindo. Kami hadir melalui aplikasi ini, bertujuan agar semua proses layanan perbaikan perangkat IT milik Customer bisa terakomodir secara rapi dan systematis.",112.75412321025783,-7.25354394346321,03199453579,5.0,"Muhamad Fatkhurroji : Tempat service laptop, hp, dll yg terbaik dengan pelayanan yg baik
Ramah, Cepat, Tanggap, Profesional..
Pelayanannya mantap, Semua staf nya ramah dan tempat nya nyaman"
NBPC Center Service Laptop,,"NBPC Service Laptop Notebook Komputer Surabaya merupakan salah satu tempat service laptop di Kota Surabaya. Service laptop ini melayani perbaikan berbagai jenis komputer seperti laptop, notebook, personal computer (PC) / komputer rumah dan merk komputer seperti komputer dan laptop lenovo, asus, acer, toshiba, dell dan lainnya.",112.75214910464521,-7.2732117305146895,085731520726,5.0,"-Almadea Dwi Maharani : Hasil service nya bagus dan worth it banget untuk harga yg murah.
- Tessya Christara : Lokasinya deket bgt dari kampus B unair.
- Farsya r : Laptop saya diperbaiki dengan samgat cepat, pemiliknya ramah, bintang 5!"
Raya Service,,Raya Service Komputer Dan Laptop Semolowaru,112.77862608916837,-7.298025633635402,082331660772,4.9,"- aldi wahyu : Tempat service terbaik di Surabaya, pelayanan sangat baik dan cepat.
- kangdesign : Harga sparepart dan biaya service bersahabat kakak🙏
- Ronny Hidayat Wibowo : Pelayanannya bagus, cepet, dan orangnya juga rama."
PRAJA COMP,,PRAJA COMP Surabaya spesialis laptop sofware dan hardware,112.76413208356557,-7.297013196787826,085606760027,5.0,"- ika nur widayati : Mantap pelayanan oke service harga standard cepet banget....🥰
- Neutron X : Layanan servis baikk, proses pengerjaannya juga cepat sipp 👍
- Gani Rakandenu : Kalau bawa mobil mending parkir di Indomaret terus nyebrang."
m-computer,,"m-computer Surabaya
Toko Komputer
Pilihan Tepat Tempat Service Laptop dan Komputer Anda , Fast Respon 👇🏻👇🏻👇🏻 admin 24jam link chate whatsapp",112.80148987265444,-7.2836488158214125,081230550980,4.9,"- wijaya budiman : Cepat, Tanggap, Ramah, pelayanan Bagus, Hasil Bagus.
- Seiga Reynita : Pelayanan ramah, cepat, berkualitas, amanah, dan dekat dengan rumah. 👍👍👍
- Mahasiswa Unesa : Suka banget pelayanan servicenya harga kualitas mantab semua👍"
Adif computer,,"Service komputer laptop dan Printer
Entrepreneur
Melayani Service Panggilan:
Komputer, Laptop, Printer, dan Jaringan
Jasa Rakit PC Dengan Segala Budget",112.76637763372939,-7.327587778083953,08113308043,4.6,"- viap : Proses pembelian cepat & barang bagus
- Mahli : Very very good services Lain waktu akan kami sewa kembali ya..
- Septyan Permana : Pelayanan baik, penjelasan ke konsumen gampang."
IT Service,,Pusat Service Komputer dan Laptop,112.77107623419036,-7.277019769983027,081252226942,4.7,"- Eijaz Anta : Bapaknya ramah dan servis cpt instal software Makasih pak
 - aisyah nurafe : Harga jasa konsultasi, menghapus virus, dan install ulang laptop hanya 100.000.
 - kayasa athma : Sehari langsung jadi dan kualitas lcd baru malah better daripada lcd aslinya."
ECOMSURABAYA,,"Service Laptop, HP, iPhone. juga melayani servise printer dan Recovery Data",112.79686550898327,-7.324843592475296,081331164222,5.0,"- Alfian Putra : Pengalaman ganti layar LCD cepat murah intinya 3 M murah mantap meriah
- Dwi Yulianti : Pelayanan yang sangat baik, dan ramah tamah
- Heroe Poernomo : Ok, hasil pekerjaan nya bagus memuaskan"
Calosa Laptop & Gadget Service Center,,Pusat Service Komputer dan Laptop,112.77500068905016,-7.281190655554218,08113530030,4.9,"- Christian Alexandra : Pelayanan baguss ada barang ada kualitas josshhh sukses selaluu
- Fadhil Al : Pelayan cepat, dan admin fast respon
- Angelia Tampubolon : Memuaskan dan staff memberikan edukasi yang berguna untuk konsumen"
Laptop Q,,Laptop Q (Notebook Specialist) Servis Laptop Surabaya,112.76154541524517,-7.2658972189691955,085230404500,4.5,"- slamet andik : Tempat service komputer dan laptop dekat rumah..murah dan cepat
- manyar kemilau : Punya pengalaman pakai jasa disini untuk membersihkan debu laptop.
- ERWIN ARIYANTO : Pelayanan Bagus...Good...."
DscomputerIn.,,Ds-Computer Surabaya Profesional Service Laptop, 112.71100592228258,-7.322185632147345,085754050200,5.0,"- Hermawan Phlvi : Service yang bagus dan in sya allah amanah.
- Kasmianik Anik : Owner ramah, teknisi handal, sukses buat Dscomputrin
- Bagus Kuncoroaji : Tempat servis laptop yg bagus bgt lah pokok nya. pelayanan nya juga sangat ramah"
Alhaitam Technology,,Service Laptop dan PC SURABAYA TERPERCAYA DAN AMANAH,112.7524679664855,-7.320884628156279,081515746575,4.9,"- M Amin Rizki : Layanan prima, antar jemput barang, home servise - menyesuaikan budget,mantap
- Be Smart Eat Smart : Pelayanan jasa servis hp yang amanah dan sat set wat wet.
- fadillah mira anggraini : Deket poll dari rumah, gaperlu bingung jauh"", pelayanannya bagus"
Sinar Computer,,Pusat Service Komputer dan Laptop,112.73714482737803,-7.317769700314234,085311795193,4.7,"- Alfasyah Faisal : Lokasi nya dekat dengan kampus UIN sunan Ampel Surabaya
- Aminur R : Tempat yang tepat untuk service laptop dan mencari segala macam asesoris
- Irfan Nashshar Abduh : Barang cukup lengkap, pelayanan baik & ramah"
CALOSA SERVICE CENTER - ROYAL PLAZA,,Pusat Service Komputer dan Laptop,112.73422658404700,-7.308490259935487,08113405522,5.0,"- Mangala Putra widiana : Pelayanan syam bagus
- theodorus sandi : Service mantap dan cepat"
Aseng Computindo,,Jasa service laptop dan komputer panggilan rumah,112.73178545455622,-7.237789404686925,087702471449,5.0,"- Aseng : Pelayananya bagus
- Khafid Zamhari : servis komputer, printer, laptop, jaringan"
CompRijal,,"Pelayanan prima dan ramah. Barang mulus , gratis aksesoris laptop. Pelayanan purna jual yang baik.",112.74752772185708,-7.238602474395953,085604718900,5.0,"- Ilham Gusti Pratama : Bisa minta tolong up varian memori, gratis aksesoris laptop.
- Mono Pratiko : Pelayanan ramah, barang sesuai dengan pesenan..
- Dika : Laptop yg di jual berkualitas 👍"
Golden Laptop,,Golden Laptop - Jasa Reparasi Laptop,112.78485820714945,-7.259349648676369,085895539122,4.7,"- Achmad Ubaydillah : Pelayanan ramah Teknisi baik enak buat konsultasi rekomend .. jujur dan baik
- Bambang Kampret : Service komputer terbaik di surabaya
- Galih Ismahendra : Tempat service laptop recomended, bergaransi, mantab"
Alpu Service Laptop dan Komputer,,"Tempat service laptop/pc lewat google maps (untuk keperluan rakit PC), pelayanan professional, cepat & dapat dipercaya",112.79790447162893,-7.2830186951229905,083831758761,4.9,"- bhirawa rendra : Untuk semua warga surabaya yg punya masalah ttg laptop atau komputer.
- Alfredo Vincent : Harga anak kuliah, hasil profesional
- Latif Saifudin : Masnya juga ramah, dan gak pelit ilmu."
Multindo service laptop,,"Multindo service laptop terletak di Kota Surabaya, Jawa Timur. Perusahaan ini bekerja di industri berikut: Toko elektronik.",112.76372417631681,-7.295227249475418,081231234266,5.0,"- ersyallu iftitah : Toko Service Komputer Terbaik dengan Kualitas yang terjamin dan Harga Kompetitif
- Naga- JAKI : Rekomendasi tempat service laptop, proyektor, printer, ada garansinya
- Veni Leyn : Service cepat, trimkasih pak"
Service Komputer Laptop Mas Atenk,,Service Laptop Surabaya - Laptop Mas Atenk, 112.76286586944315,-7.304251562735967,085808372718,4.9,"- Reyy Renaldyramadhani : Pengerjaan nya cepat 1 jam selesai teliti pokok nya rekomendet di sini👍👍👍
- shinta kinasih : Sangat recommend buat yang mau service laptop
- Nouraelza Veronica : Pelayanan baik, berpengalaman, harga sangat terjangkau dan servise nya cepat🙏🏻"
"ABBA Service Komputer, Laptop & Desain Grafis",,"Layanan Jemput, Service & Rakit PC, Maintenance Laptop, Networking & Web",112.75565609170448,-7.2780294696591366,081999153536,5.0,-
Inovasi Media Pratama,,Perusahaan di bidang IT. Bergerak dalam jasa maintenance dan persewaan alat alat multime,112.76414614456517,-7.303920110782849,082159598559,4.9,"- Lvign : Bagus tempat servis hp/laptop hardware/software
- teguh aribowo : Fast respon cepat analisa kerusakan dan biaya standart sesuai kerusakannya...
- Faizal Bani : Recomen deh kalo mau service disini gak bakal kecewa.."
Genius Kertajaya,,Pusat Service Handphone dan Laptop / komputer - Genius Kertajaya,112.75247317108355,-7.273951856984612,08113427168,4.7,"- Navanda Winata : Konter servis sangat bagus orang2nya ramah2 dan pelayanan sangat baik
- Ahmat Perianto : Ganti lcd 2 kali bisa di tunggu satt, set poll fre kopi
- Diki Darmawan : Kerusalan baterai bisa di tunggu...sementara bintang 4 dulu lumayan bagus"
JAGO LAPTOP SURABAYA,,Praktisi laptop surabaya yang memiliki pengalaman di bidang service laptop lebih dari 15 Tahun. ,112.776334102171,-7.309028135683877,081233101514,4.9,"- Rahman Syakur : Service laptop profesional, layanan prima, hasil maksimal..
- Hasyim : Pelayanan ramah, dan ada konfirmasi sebelum pengerjaan
- ovan efendi : Setelah selesai tidak dikenakan biaya krn cuma dibongkar dan dibersihkan."
KER26 Service Laptop,,Jasa service laptop dan komputer panggilan rumah,112.75733134456517,-7.242141565473768,089529744474,5.0,"- Hari susanto : Alhamdulillah sudah bisa ngecharge.
- Erik MaulanaService cepat, murah dan amanah🙏
- Yonatan : Tempat servis bagus, rekomendasi tempat untuk memperbaiki komputer pribadi anda 👍👍 …"
Quality Service Center,,Jasa reparasi komputer termurah dan terpecaya di Surabaya,112.7511515350749,-7.257808148069213,089696000603,4.8,"- Titik Wahyuni : Alhamdulillah servis Asusq msh garansi tidak dikenakan biaya karena di THR servis resminya Asys juga,terima kasih mbak dan masnya sudah membantU😊good job … 
- Bang Haqiqi : pelayanan bagus dan ramah👍 …
-  Pak Puji : Mantepp servisX"
Frizta Computer,,Pelayanan service komputer yang terpercaya,112.7937291218157,-7.271988180143046,082245684243,4.6,"- Indra Mahardika : Mantap gan servis laptop disini
- Cap Kaki Dua : Lokasi toko gak jelas , titik GPS tidak sesuai
- Wiellyam Roberto : Pelayanannya jos, sangat rekomen banget, sukses selalu ya"
Aira Service Computer & CCTV Surabaya,,Profesional dan Amanah Service - Maintance,112.76746493148205,-7.269944808221399,088210108055,4.8,"- Eva Dewi : Pelayanan baik, ramah, kinerja nya bagus pintar,harga terjangkau.
- habib sadul : Tidak ada toko komputer di alamat ini
- ndah tsuyoi : Terima kasih dan sukses selalu"
